Legend: waktu, epoch 1970, epoch 1980, latitude, longitude, altitude, gx, gy, gz, ax, ay, az 
(2023-05-26_16-43-09.055, 1685094189.052086, 1369129389.052086, -7.316236166666667, 112.79027583333334, 29.6, -0.021310094743967056, 0.019833801314234734, 0.004702296108007431, 0.64690101146698, -0.022042326629161835, -9.844473838806152) 
(2023-05-26_16-43-09.148, 1685094189.14618, 1369129389.14618, -7.316236166666667, 112.79027583333334, 29.6, -0.0096996258944273, 0.01625761389732361, -0.009278765879571438, 0.5424346923828125, -0.16060495376586914, -9.906707763671875) 
(2023-05-26_16-43-09.227, 1685094189.224134, 1369129389.224134, -7.316236166666667, 112.79027583333334, 29.6, 0.009335624054074287, -0.002112753689289093, 0.010377940721809864, 0.4990776777267456, 0.02605259418487549, -9.57126235961914) 
(2023-05-26_16-43-09.306, 1685094189.304139, 1369129389.304139, -7.316236166666667, 112.79027583333334, 29.6, 0.009897300973534584, -0.00021416693925857544, -0.006712568923830986, 0.6898603439331055, -0.06993422657251358, -9.93555736541748) 
(2023-05-26_16-43-09.402, 1685094189.399685, 1369129389.399685, -7.316236166666667, 112.79027583333334, 29.6, 0.003799065947532654, -0.007684057578444481, 0.0170881524682045, 0.4707092046737671, -0.07434657961130142, -9.647928237915039) 
(2023-05-26_16-43-09.496, 1685094189.495248, 1369129389.495248, -7.316236166666667, 112.79027583333334, 29.6, 0.000691831111907959, -0.0015078727155923843, -0.0006399024277925491, 0.6562682390213013, -0.08885764330625534, -9.662515640258789) 
(2023-05-26_16-43-09.591, 1685094189.590039, 1369129389.590039, -7.316236166666667, 112.79027583333334, 29.6, -0.0005532447248697281, 0.004662025719881058, -0.013479260727763176, 0.6849229335784912, -0.0125013068318367, -9.820562362670898) 
(2023-05-26_16-43-09.694, 1685094189.685568, 1369129389.685568, -7.316236166666667, 112.79027583333334, 29.6, 0.0055518727749586105, -0.0075941625982522964, -0.007925115525722504, 0.5327370166778564, 0.011496379971504211, -9.877853393554688) 
(2023-05-26_16-43-09.813, 1685094189.810101, 1369129389.810101, -7.316236166666667, 112.79027583333334, 29.6, -0.008514578454196453, -0.006498252972960472, 0.01032655593007803, 0.5803130269050598, -0.14143100380897522, -9.763047218322754) 
(2023-05-26_16-43-09.908, 1685094189.905622, 1369129389.905622, -7.316236166666667, 112.79027583333334, 29.6, -0.005372989922761917, 0.01995663531124592, -0.008054379373788834, 0.5519105195999146, -0.036374665796756744, -9.96890926361084) 
(2023-05-26_16-43-10.020, 1685094190.017147, 1369129390.017147, -7.316236166666667, 112.790276, 29.6, 0.0006877165287733078, -0.008899262174963951, 0.008537438698112965, 0.39925727248191833, 0.002208597958087921, -9.62385082244873) 
(2023-05-26_16-43-10.115, 1685094190.112679, 1369129390.112679, -7.316236166666667, 112.790276, 29.6, -0.00784248299896717, 0.008244480937719345, 0.00539949256926775, 0.5708931684494019, -0.1319185495376587, -9.854035377502441) 
